kind,N,phi,gamma,C,lmax,a0_pred,a0_sim,rel_err,log_phi,log_err,log_N,phi_gamma
er,20,0.09774436090225563,0.0022962388092615527,0.31923160173160176,6.613109691809551,0.0252024651690091,0.027226562500000002,0.07434274271645212,-2.32538954004332,-2.5990557694501306,2.995732273553991,0.00022444439489022693
er,20,0.09129554655870445,0.002688578638521344,0.3967857142857143,7.259994728393146,0.022956857808015933,0.0233984375,0.018872187169936806,-2.3936423173024712,-3.9700130324364244,2.995732273553991,0.00024545525626986357
er,20,0.07958333333333334,0.003450765735699024,0.20238095238095238,5.146041770301808,0.032387352086512874,0.031054687500000004,0.042913475993370406,-2.5309380229233254,-3.148546074223902,2.995732273553991,0.00027462343979938066
er,20,0.040528634361233495,0.0010405858922610811,0.2903174603174603,6.906031028445641,0.024133495198642163,0.0233984375,0.03141481984180192,-3.20572185981776,-3.460443696323014,2.995732273553991,4.217352514890727e-05
er,20,0.09999999999999998,0.004008675385314131,0.28805555555555556,6.009397515521934,0.02773433879788716,0.027226562500000002,0.018650033322684688,-2.3025750930440454,-3.981853728385096,2.995732273553991,0.000400867538531413
er,20,0.10293333333333335,0.008087422980581627,0.2926587301587301,6.466647664551655,0.025773271610310008,0.027226562500000002,0.05337768547498402,-2.2736640345209094,-2.9303437611054566,2.995732273553991,0.0008324654054678689
er,20,0.11330049261083742,0.003174718936880705,0.3847258297258297,6.709915883711954,0.02483886080766574,0.0233984375,0.06156066223078954,-2.177702937064631,-2.7877159685763004,2.995732273553991,0.00035969721944953794
er,20,0.07960339943342777,0.0028571324042130364,0.33305555555555555,6.210421270432609,0.02683661210877196,0.027226562500000002,0.014322424699337017,-2.530685918394921,-4.245858991060996,2.995732273553991,0.00022743745200676016
ba,20,0.3178947368421053,0.013477721465779302,0.3406277056277056,4.865587859369769,0.03425416855760051,0.034882812500000006,0.018021595661172583,-1.1460318215293004,-4.016128993824883,2.995732273553991,0.004284496718595105
ba,20,0.24210526315789474,0.011569491057728643,0.28075396825396826,4.615369166761061,0.03611123198269073,0.034882812500000006,0.035215608910282734,-1.4183785452451387,-3.3462374636193584,2.995732273553991,0.002801034677134303
ba,20,0.27597765363128496,0.01456065039811194,0.2777056277056277,4.751729977949408,0.03507494479696658,0.034882812500000006,0.005507935948873788,-1.2874317581716614,-5.201383787193057,2.995732273553991,0.004018414132216369
ba,20,0.32849740932642496,0.01863586767687142,0.4157936507936508,4.926112196526618,0.0338333070822428,0.034882812500000006,0.03008660548105755,-1.1132232833023008,-3.5036419700691193,2.995732273553991,0.0061218342524023235
ba,20,0.30695187165775406,0.01670400910068759,0.42630952380952375,4.9050397798976,0.03397865749218166,0.034882812500000006,0.025919785218532672,-1.1810610556946513,-3.6527101140320433,2.995732273553991,0.005127326857644212
ba,20,0.2994594594594595,0.018182855438388934,0.36738095238095236,4.724483411431054,0.03527722549801124,0.034882812500000006,0.011306800390915523,-1.2057728919804818,-4.482262491330334,2.995732273553991,0.005445028061009444
ba,20,0.23764705882352946,0.011007685584011995,0.2789285714285714,4.534776559059395,0.036753005246467255,0.0387109375,0.050578270121532085,-1.4369644441712184,-2.9842134680237127,2.995732273553991,0.002615944103494616
ba,20,0.28397790055248623,0.015145626189433603,0.23916666666666667,4.821414673076127,0.034568000881021736,0.034882812500000006,0.009024834765782419,-1.2588553374101281,-4.707664284217039,2.995732273553991,0.004301023127828107
ba3,20,0.22125748502994014,0.010146547545392126,0.36846153846153845,6.272519102960464,0.026570930104940518,0.027226562500000002,0.024080615944795998,-1.5084236454116482,-3.7263065534510873,2.995732273553991,0.0022449995916301742
ba3,20,0.2141993957703927,0.007295381348116692,0.4003296703296703,6.2208819122068135,0.026791485358310375,0.027226562500000002,0.015979877800938982,-1.5408432733026292,-4.136362408929958,2.995732273553991,0.0015626662766811885
ba3,20,0.16366559485530546,0.004872136847744235,0.25837301587301587,6.027985104078791,0.0276488186000813,0.027226562500000002,0.015508975842297268,-1.8099238786217768,-4.166271859351494,2.995732273553991,0.000797401175402513
ba3,20,0.23500000000000001,0.011432403491679066,0.3364141414141414,6.426672682121411,0.025933585684287705,0.027226562500000002,0.047489535842517666,-1.448165509527883,-3.047224833214228,2.995732273553991,0.0026866148205445806
ba3,20,0.21891891891891896,0.0063240866565819065,0.44206654456654454,6.198242825953745,0.026889341277303237,0.027226562500000002,0.01238574361698308,-1.5190492830750295,-4.39112844137328,2.995732273553991,0.0013844622140084717
ba3,20,0.21181818181818182,0.005944662361911268,0.4029334554334555,6.1805786329486185,0.026966191446569084,0.027226562500000002,0.009563126209227411,-1.5520222842018625,-4.649736033192555,2.995732273553991,0.0012591875730230233
ba3,20,0.25043227665706047,0.007712957689772537,0.42749833499833495,6.365728756320246,0.026181867472941073,0.027226562500000002,0.03837043427935236,-1.3845627545879735,-3.260441995193795,2.995732273553991,0.001931573554009318
ba3,20,0.1820754716981132,0.006285563652917325,0.3041053391053391,6.046417926500514,0.02756452972530934,0.027226562500000002,0.012413143425995796,-1.7033285059883303,-4.388918857489205,2.995732273553991,0.0011444469669934375
ws,20,0.030303030303030304,0.0011363278955709433,0.38,4.118271569810398,0.040470052506600455,0.0425390625,0.04863788414235849,-3.496474562010968,-3.023331982739547,2.995732273553991,3.443417865366495e-05
ws,20,0.03614457831325301,0.0015343284446096561,0.31166666666666665,4.232447062235204,0.03937832280379382,0.0387109375,0.017240225809406345,-3.320200652844537,-4.060451913640484,2.995732273553991,5.54576546244454e-05
ws,20,0.02439024390243903,0.0008883906570964495,0.3433333333333333,4.152023620031925,0.040141069010918864,0.0387109375,0.03694386143241465,-3.7135310675447846,-3.2983287093937177,2.995732273553991,2.1668064807230478e-05
ws,20,0.02439024390243903,0.0010366578681748617,0.31666666666666665,4.179158462955028,0.03988043720859986,0.0387109375,0.030211092371499833,-3.7135310675447846,-3.499513025091553,2.995732273553991,2.5284338248167364e-05
ws,20,0.030303030303030304,0.0016746749211005163,0.4333333333333333,4.1614484964901015,0.04005015724866923,0.0425390625,0.05850870012311097,-3.496474562010968,-2.838562724419687,2.995732273553991,5.0747724881833825e-05
ws,20,0.006211180124223602,0.0002553000270459904,0.4916666666666667,4.041411698933175,0.04123971500123638,0.0425390625,0.030544808051743498,-5.081243377943572,-3.4885278187617166,2.995732273553991,1.5857144537018038e-06
ws,20,0.041916167664670656,0.0015299918922493383,0.31333333333333335,4.203272262924359,0.039651646679368574,0.0387109375,0.024300862756645288,-3.172059806503162,-3.7172022749215357,2.995732273553991,6.413139668110998e-05
ws,20,0.01234567901234568,0.0005081526984931362,0.4333333333333333,4.062805255921075,0.04102255859390972,0.0425390625,0.03564967860046943,-4.394368157952762,-3.3339870972267156,2.995732273553991,6.273490104853533e-06
er,30,0.08872668288726682,0.003137863843468258,0.2610774410774411,7.802322127595047,0.021361161964488038,0.0195703125,0.09150847563052654,-2.4221833426732484,-2.3913127532589353,3.4011973816621555,0.0002784122501828284
er,30,0.12497175141242937,0.0077579411899846296,0.2298148148148148,6.720717091253027,0.024798941006396825,0.0233984375,0.059854573896091334,-2.079659554143391,-2.8158207202186576,3.4011973816621555,0.0009695234978670057
er,30,0.11628721541155863,0.010200291031964737,0.17158730158730157,6.651096167387822,0.02505852606430197,0.0233984375,0.07094869323227118,-2.151683553813007,-2.6457841991025406,3.4011973816621555,0.0011861634404946731
er,30,0.1205211726384365,0.004092463269022684,0.24192640692640693,6.896331966333973,0.024167436759176947,0.0233984375,0.032865410742787704,-2.1159215376800975,-3.415304092802571,3.4011973816621555,0.000493228472162343
er,30,0.06523605150214593,0.0017752404725248638,0.22698412698412698,7.0894566614183265,0.023509088866243682,0.0233984375,0.004729006637459489,-2.7297276968835886,-5.353828673210889,3.4011973816621555,0.00011580967889432589
er,30,0.09694749694749695,0.002467244798120216,0.1594083694083694,6.312189042114676,0.026403940939454324,0.027226562500000002,0.030213933931089475,-2.333575400791716,-3.499418975797202,3.4011973816621555,0.00023919320753448738
er,30,0.12238805970149258,0.004062578584609122,0.17419191919191918,6.5186208198606455,0.025567780558561414,0.0233984375,0.09271315909711549,-2.100550294422431,-2.37823407700485,3.4011973816621555,0.0004972111103551465
er,30,0.11141709695926565,0.0042324142430343326,0.1661856661856662,6.601547507367361,0.02524660566036461,0.027226562500000002,0.07272151376566152,-2.1944655144198606,-2.6211042619757445,3.4011973816621555,0.00047156330808793313
ba,30,0.3100110011001099,0.01789811684713083,0.10624338624338624,5.155086133807778,0.03233052995441595,0.031054687500000004,0.041083731865469535,-1.171144269026122,-3.1921187139566696,3.4011973816621555,0.005548613121585771
ba,30,0.2815578465063,0.013590970505985567,0.27190476190476187,4.962579123996715,0.03358468701501292,0.034882812500000006,0.03721389968160056,-1.2674138070459526,-3.2910460688181105,3.4011973816621555,0.0038266443875959347
ba,30,0.4287795992714026,0.016021297634660536,0.29853479853479853,5.724128774542855,0.029116512439043993,0.027226562500000002,0.06941566490606334,-0.8468099144855641,-2.667628311966128,3.4011973816621555,0.006869605579597615
ba,30,0.4176415970287838,0.016046714830065367,0.44895382395382394,5.497802617516246,0.030315141932462108,0.031054687500000004,0.023814297520717162,-0.8731292432365296,-3.7374271518106186,3.4011973816621555,0.006701775608693969
ba,30,0.3759203980099502,0.015248752931612097,0.42822751322751323,5.44124929505662,0.030630220677094047,0.031054687500000004,0.013668365618103771,-0.9783752052916663,-4.292598036191891,3.4011973816621555,0.005732317271207014
