domain,N,phi,lambda_max,a0_ref,a0_pred,a0_corr,err_pred,err_corr,improvement,rel_improvement
food_web,72,0.40821256038647336,6.267129011021593,0.024833984375,0.026593782635328047,0.03191318152429306,0.07086250171356352,0.28506086830027894,-0.21419836658671543,-3.022732208217302
food_web,53,0.39968841959494544,5.939760888423313,0.026748046875,0.02805949091174741,0.03355486716455339,0.049029525141633695,0.25447915211765854,-0.20544962697602484,-4.190324625080525
food_web,53,0.45547326825949275,6.495426266666906,0.024833984375,0.025659080686045693,0.03138572310294325,0.03322448377942549,0.2638214886910691,-0.2305970049116436,-6.940574479606664
food_web,63,0.3790960098450242,5.954739933274931,0.026748046875,0.027988907749830972,0.03318804454129285,0.046390709595725256,0.24076515554158007,-0.19437444594585482,-4.189943357640975
food_web,40,0.39581589958158997,5.771806581515538,0.028662109375,0.028875996503490597,0.03447648998433915,0.007462365232516877,0.20285948020317848,-0.19539711497066162,-26.18434052259927
food_web,60,0.4589465219139524,6.48727760294155,0.024833984375,0.02569131103486221,0.03146887057786339,0.03452231615017309,0.2671696213815224,-0.2326473052313493,-6.739041017567379
food_web,38,0.3936842105263157,5.681104611834391,0.028662109375,0.029337017720018913,0.034996282843566984,0.023547057761477513,0.22099467229344427,-0.19744761453196677,-8.38523503418178
food_web,74,0.38549075391180665,6.148653685846606,0.024833984375,0.027106204899832217,0.03222630866746909,0.09149641436996425,0.2976696844470447,-0.20617327007708047,-2.2533480822329
food_web,53,0.41836477987421367,6.1921523968453425,0.025791015625000004,0.02691578888652301,0.032433491751922006,0.043611049594833744,0.2575500020434733,-0.21393895244863953,-4.90561346139722
food_web,74,0.4872530352859722,7.020426449732263,0.021962890625000002,0.023740248239908963,0.02940832716644463,0.08092548677931417,0.3390007567113961,-0.25807526993208196,-3.1890480970099677
food_web,44,0.40606060606060607,5.934171258759671,0.027705078125000004,0.02808592125153841,0.033674168492071783,0.013746329276536084,0.21545112921683118,-0.2017047999402951,-14.673357113397088
food_web,57,0.3663262634197435,5.975053289799913,0.026748046875,0.02789375401072747,0.03290067920368212,0.04283330072964328,0.23002174167836772,-0.18718844094872444,-4.370161470702685
food_web,52,0.39997599903996156,6.1106737151830135,0.025791015625000004,0.027274679427336277,0.0326201958320336,0.05752638143098614,0.2647891151837335,-0.20726273375274734,-3.602916231418221
food_web,69,0.37966177816931834,5.757749881390315,0.027705078125000004,0.0289464930050803,0.034331532738056815,0.04480820716257397,0.23917834063342167,-0.1943701334708477,-4.337824370697268
food_web,46,0.359894197387998,5.736598378374454,0.027705078125000004,0.029053222079300247,0.03417670423976511,0.04866053610163723,0.23358988866829292,-0.18492935256665569,-3.8003969335716765
food_web,66,0.3974698440717858,6.079563888434909,0.025791015625000004,0.027414247094880433,0.032753451988772726,0.06293786539786289,0.26995588173052887,-0.20701801633266598,-3.289244315724299
food_web,64,0.48388829215896884,6.5531514439653495,0.023876953125000003,0.02543305584981502,0.03146336724999484,0.0651717460208825,0.31772957316951805,-0.25255782714863556,-3.8752656201689573
food_web,58,0.42017195155773307,6.150534571803188,0.025791015625000004,0.027097915591067726,0.032676949788820096,0.05067268327350805,0.2669896472454288,-0.21631696397192074,-4.268906826533137
food_web,45,0.4066586442037704,5.862423456656668,0.027705078125000004,0.028429653350513246,0.034094623850997666,0.02615315583100315,0.23062724086787467,-0.20447408503687153,-7.818333113461025
food_web,76,0.4562065541211518,6.514911885171637,0.024833984375,0.025582336277795385,0.031301042722829554,0.030134185940325367,0.26041162989294,-0.23027744395261462,-7.641734329391173
food_web,61,0.39851832652973074,6.097371591211855,0.025791015625000004,0.027334182306829297,0.032671836875917626,0.059833498000499655,0.2667914032919214,-0.20695790529142177,-3.4588969701187087
food_web,46,0.33590601149129584,5.58251432940939,0.028662109375,0.029855125635530506,0.03476909856118378,0.04162346339976958,0.21306837910228918,-0.1714449157025196,-4.118948816055846
food_web,43,0.3656304542667107,5.585609964891226,0.029619140625000005,0.029838579441504618,0.035184427185881245,0.00740868275966777,0.18789493697139428,-0.1804862542117265,-24.361449616675873
food_web,41,0.39432553509208557,5.843866805054885,0.027705078125000004,0.02851992905151461,0.03403053583068775,0.02941160905008662,0.22831401799873982,-0.1989024089486532,-6.762717671571784
food_web,43,0.4644791334820006,6.229860257070275,0.025791015625000004,0.026752874027554073,0.032841688383325074,0.03729432049281965,0.27337708839548924,-0.23608276790266958,-6.330260590619877
food_web,79,0.45860679595028025,6.706140561077451,0.023876953125000003,0.024852844217731245,0.030437709013634382,0.04087167603095264,0.2747735799575298,-0.23390190392657717,-5.722836107263051
food_web,40,0.35822222222222216,5.644939190938748,0.028662109375,0.029524971134179775,0.03470745651183887,0.0301046146984698,0.21091773315580914,-0.18081311845733933,-6.006159509688525
food_web,71,0.43590882836450895,6.452285866397331,0.024833984375,0.02583063895768244,0.03134794270401794,0.04013268944816432,0.2623001702286421,-0.2221674807804778,-5.535823371963363
food_web,51,0.34952081005113617,5.694825472235612,0.027705078125000004,0.029266334408179592,0.034278638933871036,0.05635271180739858,0.2372691670174105,-0.18091645521001193,-3.210430325115539
food_web,64,0.48664529914529914,6.6701030524078035,0.023876953125000003,0.024987120192468782,0.030945453837082106,0.04649534057619754,0.2960386392299416,-0.24954329865374408,-5.367060333886172
food_web,58,0.44827586206896547,6.472215407588148,0.024833984375,0.02575110007483118,0.03140746240161306,0.03692986538053979,0.26469687374171347,-0.22776700836117367,-6.167555862915221
food_web,54,0.4211089702419182,6.245965482999938,0.025791015625000004,0.026683891725033465,0.03218993654655755,0.034619656434466656,0.24810658930991777,-0.21348693287545112,-6.166639251978357
food_web,58,0.38732050405392204,6.091166829250081,0.025791015625000004,0.02736202624862041,0.03255498440991104,0.06091309650084423,0.2622606601949602,-0.20134756369411597,-3.3054888838359497
food_web,54,0.46658775953050247,6.251063509400072,0.025791015625000004,0.02666212979856,0.03275783926800056,0.03377587708161436,0.27012599055026776,-0.2363501134686534,-6.997601045201241
food_web,56,0.44751799924213714,6.231267753699683,0.025791015625000004,0.02674683118338349,0.032611978488238436,0.03706002013573234,0.2644705025352576,-0.22741048239952527,-6.136275181530036
food_web,41,0.3300666189506139,5.446621823375871,0.029619140625000005,0.030600007136784284,0.035549027175580776,0.03311596795473462,0.20020454427282255,-0.16708857631808793,-5.0455591707879766
food_web,75,0.37876867030965394,6.095151786059315,0.025791015625000004,0.027344137195707365,0.03241911741403495,0.06021948081803625,0.25699266308109747,-0.19677318226306123,-3.2676001065317384
food_web,44,0.24888226527570792,5.0485178391474665,0.031533203125000006,0.03301298954998075,0.03703899988511477,0.046927881671733646,0.1746031552294059,-0.12767527355767225,-2.7206698605896946
food_web,43,0.39154827617410193,5.682004530769014,0.028662109375,0.029332371307368474,0.03496004062390289,0.023384947827779074,0.21973020779817923,-0.19634525997040014,-8.396223954690136
food_web,42,0.4292848225432495,5.880383583277193,0.028662109375,0.02834282225068416,0.03430472252661147,0.011139693877322674,0.19686663942930652,-0.18572694555198385,-16.67253570251323
metabolic,76,0.3992710238232421,9.071705753798879,0.017177734375000003,0.018372142041409703,0.021966519383132547,0.0695323166801326,0.27877861559566364,-0.20924629891553104,-3.009338802519504
metabolic,99,0.3160667903525047,8.767543578385123,0.017177734375000003,0.019009505362203707,0.02195355930175373,0.10663635536649191,0.2780241458212516,-0.17138779045475971,-1.6072172544251524
metabolic,90,0.38161764705882345,9.172083726478228,0.017177734375000003,0.018171079946155386,0.021568938285204484,0.05782750795128551,0.25563347379473494,-0.19780596584344945,-3.4206206096244225
metabolic,77,0.381890924141045,8.856825470581816,0.018134765625,0.018817878620308655,0.02233920337808366,0.037668697210342605,0.23184406349798964,-0.19417536628764703,-5.154820319053952
metabolic,81,0.33431806991629737,8.383568064155332,0.018134765625,0.01988015906726688,0.02313684430767573,0.09624571270227711,0.2758281406063514,-0.1795824279040743,-1.865874569114579
metabolic,60,0.2972602739726027,7.736018286515064,0.021005859374999998,0.02154424414394023,0.024682325623152784,0.025630218660845926,0.17502098735976074,-0.14939076869891482,-5.828696590258216
metabolic,76,0.3975505589750032,8.787910641400174,0.018134765625,0.018965448497108496,0.022659913576214684,0.04580609914050079,0.24952889079395993,-0.20372279165345913,-4.447503608282186
metabolic,69,0.34428861737625127,8.45322859113718,0.019091796875,0.019716332626022796,0.02304250598679919,0.03271225621725535,0.20693228288912371,-0.17422002667186837,-5.32583338129352
metabolic,80,0.33198547821732594,8.502361460721946,0.018134765625,0.01960239722065578,0.02279117571625342,0.08092917361074407,0.25676704003465284,-0.17583786642390875,-2.1727376959560467
metabolic,74,0.32478568877247277,8.14512887009522,0.020048828125,0.02046212765013235,0.02371857269920561,0.02061464752730278,0.1830403528488331,-0.16242570532153033,-7.879140514941806
metabolic,69,0.3619607938871665,8.334974410148313,0.019091796875,0.019996062191113675,0.023542579558316876,0.04736407589260373,0.23312539476810643,-0.18576131887550268,-3.92198760310474
metabolic,103,0.4245726652835099,9.323453284643744,0.016220703125,0.01787606604316623,0.021595013655484486,0.10205247611091034,0.33132414107261376,-0.22927166496170343,-2.246605604041112
metabolic,93,0.4398921273726791,9.457767731213139,0.016220703125,0.01762219917038378,0.02142061384458592,0.08640168274972866,0.3205724609786865,-0.23417077822895788,-2.7102571443687253
metabolic,103,0.44468610882301224,9.566379941684865,0.016220703125,0.017422124950361606,0.021218339656647867,0.07406718538051085,0.3081023364483695,-0.23403515106785863,-3.159768385278253
metabolic,64,0.3869178383128295,8.756005512363298,0.018134765625,0.019034554790005192,0.022643311098377195,0.04961680694482047,0.24861338528477367,-0.1989965783399532,-4.010668767141609
metabolic,114,0.36152902768901246,8.998757422217922,0.017177734375000003,0.018521075615969697,0.021802069780975836,0.07820246905929311,0.26920519930183356,-0.19100273024254044,-2.4424130375408084
metabolic,70,0.3601362052581566,8.560742241048235,0.018134765625,0.019468716844143516,0.022904297848836262,0.07355767627371891,0.26300490022661993,-0.18944722395290103,-2.575492229939278
metabolic,110,0.4402531439280766,9.694845404271089,0.016220703125,0.017191266050848142,0.020899835425073194,0.05983482456763985,0.28846667521221864,-0.2286318506445788,-3.8210498971885274
metabolic,80,0.39085616438356163,8.969349885842284,0.017177734375000003,0.01858180010679955,0.022140577554171557,0.08173753890635227,0.28891139371641106,-0.2071738548100588,-2.5346231037609073
metabolic,92,0.3308459112412705,8.658319441939849,0.018134765625,0.019249309035579535,0.02236990107801369,0.061458936587692164,0.2335368176567592,-0.17207788106906705,-2.7998837979168543
metabolic,93,0.42908159669196233,9.247142432816823,0.017177734375000003,0.01802358597561879,0.02181304460940014,0.049241161968938955,0.2698440977842945,-0.22060293581535556,-4.4800513746305475
metabolic,93,0.4508784814417264,9.522635518438557,0.016220703125,0.017502157500825496,0.021368917136829296,0.0790011607974298,0.31738537917599036,-0.23838421837856055,-3.0174774100859585
metabolic,90,0.4568353067814855,9.567657943907186,0.016220703125,0.017419797785810504,0.021319207331931073,0.07392371659662594,0.31432078915697886,-0.24039707256035292,-3.251961390779547
metabolic,75,0.39368421052631586,8.928030589082256,0.018134765625,0.01866779745025481,0.02226891382997449,0.029392815781417562,0.2279681078025782,-0.19857529202116064,-6.755912493117135
metabolic,108,0.39436387607119316,9.266807332094572,0.016220703125,0.01798533849834505,0.021460794721648354,0.10878908021103739,0.3230495963255819,-0.2142605161145445,-1.969503883128299
metabolic,108,0.4776861853325754,9.955384691561697,0.015263671875,0.016741358755120266,0.020659945497618848,0.09681070794901803,0.3535370562739411,-0.2567263483249231,-2.6518383503086786
metabolic,71,0.3601082477397136,8.528727163575756,0.018134765625,0.019541798379770187,0.022990008138158876,0.07758758970838292,0.26773119727919703,-0.1901436075708141,-2.4506961492219226
metabolic,61,0.32564148253741987,8.27034262928371,0.019091796875,0.020152329128001505,0.02336792195157548,0.05554910624417088,0.22397708840988706,-0.1684279821657162,-3.0320556576044795
metabolic,97,0.3833508450196376,9.078411914255554,0.017177734375000003,0.01835857066641304,0.021807079719790904,0.06874226051204944,0.26949685236304044,-0.20075459185099098,-2.920395548001543
metabolic,72,0.40308425275827486,8.90516309566081,0.018134765625,0.01871573433033223,0.022412303046140766,0.03203618493592918,0.235874976803885,-0.20383879186795584,-6.362767340722587
metabolic,99,0.37685520132526457,8.952931886322348,0.017177734375000003,0.018615875646422392,0.022053465533065905,0.0837212428616558,0.2838401765696124,-0.2001189337079566,-2.390300557286408
metabolic,85,0.3518862620150473,8.401044548405078,0.019091796875,0.019838802866282625,0.023259493936182728,0.039127065732655085,0.21829778980312595,-0.17917072407047085,-4.579201641052691
