,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
2169,AVA,AVD,566640,717056,432480,644760,1346400,875886,12149,35339,3247440,48520,9075,11,4,721431.3636363636,9,2,no,no,core,no,core,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
2171,AVA,AVE,72000,80384,163320,229440,462240,221337,2704,32245,1794000,42616,17491,11,4,283434.2727272727,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,no,no,not specific,0,1.5
2173,AVA,AVH,30000,342016,721800,1240440,1433880,1186436,12471,29631,4097760,0,0,9,2,1010492.6666666666,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2175,AVA,AVJ,328680,134144,318360,396600,531120,267631,7214,7844,1909680,3418,10361,11,4,355913.8181818182,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2177,AVA,AVK,199800,335104,720000,825960,2206680,617379,2644,24952,1641120,65697,33848,11,4,606653.0909090909,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,3,2,2,2.5,0,2,no,yes,pristi_specific,0,2.5
2179,AVA,AVL,0,0,409680,96720,2880,14530,774,0,0,3790,2268,7,2,75806,5,2,no,no,not specific,no,pristi_specific,0,0,0,0,0,0,0,0,0,0,6,3,2,4.5,0,2,no,yes,pristi_specific,0,4.5
2181,AVA,AWA,19200,0,0,0,35520,0,0,0,8640,0,0,3,1,21120,3,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2183,AVA,AWB,24720,125952,58920,2400,44160,40211,0,686,265440,0,0,8,2,70311.125,8,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2185,AVA,AWC,6840,97536,0,0,18960,1041805,2834,10892,2640,0,43,8,3,147693.75,7,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2187,AVA,BAG,422040,713216,391200,662880,2319720,2801355,20895,26900,4555440,11472,690,11,4,1084164.3636363635,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,no,no,not specific,0,1
2189,AVA,BDU,0,0,0,0,9600,0,0,1158,571200,0,28,4,3,145496.5,3,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2191,AVA,CEP,0,66816,142080,2040,284760,56432,0,0,222000,557,0,7,2,110669.28571428571,6,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2193,AVA,DVA,223680,273664,353280,764280,475440,1055999,6165,15004,1646880,16240,17893,11,4,440775,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2195,AVA,DVC,666600,901120,610800,638280,1630440,2044077,12734,38752,4264560,74291,31797,11,4,992131.9090909091,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,44,43,2,43.5,0,2,no,yes,pristi_specific,0,43.5
2197,AVA,FLP,548880,900096,1234560,346560,3630360,3655954,37720,81316,7132080,0,0,9,2,1951947.3333333333,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2199,AVA,IL1,0,165120,3960,46080,84720,127057,0,658,140160,0,312,8,3,71008.375,7,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2201,AVA,IL2,0,256,47280,2880,80880,41226,0,0,272640,0,410,7,2,63653.142857142855,6,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2203,AVA,OLL,0,19456,0,0,17280,31088,3577,1292,480,0,0,6,2,12195.5,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2205,AVA,OLQ,90840,8192,61080,1320,79800,29398,271,397,337440,1592,1291,11,4,55601.90909090909,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2207,AVA,PVC,206760,155648,685200,870240,2345760,4161821,32407,35880,4077840,4104,1575,11,4,1143385,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,no,no,not specific,0,0.5
2209,AVA,PVP,518520,1164032,685680,605160,1738440,1847745,8103,28978,2897280,25840,18138,11,4,867083.2727272727,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,18,0,1,18,0,1,no,no,not specific,0,9
2211,AVA,PVQ,18240,58624,0,78000,129120,253101,0,11948,256080,0,0,7,2,115016.14285714286,7,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2213,AVA,PVR,11400,0,42000,0,21720,0,0,0,147360,0,0,4,1,55620,4,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2215,AVA,PVT,0,0,0,166200,292080,52715,0,46,1108560,12705,14460,7,4,235252.2857142857,5,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,1,no,no,not specific,0,2.5
2217,AVA,RIA,384120,1436416,1312560,1049040,2547240,4456149,33666,43116,3166080,10178,4319,11,4,1312989.4545454546,9,2,no,no,core,no,core,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,0,no,no,not specific,0.3,0
2219,AVA,RIB,273120,496384,100080,447840,591960,870818,10029,3560,2476560,0,85,10,3,527043.6,9,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2221,AVA,RIC,1436760,2423552,1654080,1078560,4069080,6799286,42767,46581,7954320,39773,33225,11,4,2325271.272727273,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,34,15,2,24.5,0,2,no,yes,pristi_specific,0,24.5
2223,AVA,RID,381000,201728,190200,279360,1009560,381849,7185,3367,1496640,0,919,10,3,395180.8,9,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2225,AVA,RIF,0,5632,0,134400,5520,0,0,8816,1117440,22166,0,6,3,215662.33333333334,5,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,8,0,1,8,0,1,no,no,not specific,0,4
2227,AVA,RIG,19200,94720,20880,50040,1039200,103740,406,11699,2136240,11108,16791,11,4,318547.63636363635,9,2,no,no,core,no,core,0,0,0,0,0,0,3,0,0,0,6,0,2,4.5,1,1,no,no,not specific,0.3,3
2229,AVA,RIH,27600,475392,56040,0,4200,497417,0,0,86160,1013,0,7,2,163974.57142857142,6,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2231,AVA,RIM,1891440,2695168,2159760,3339720,6174000,6723930,76391,59014,15439440,72760,50451,11,4,3516552.1818181816,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2233,AVA,RIP,0,0,0,0,31440,0,0,0,29280,0,0,2,1,30360,2,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2235,AVA,RIR,69120,91136,142080,5280,606480,80762,0,4908,1113600,364,2480,10,4,211621,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2237,AVA,RIS,32280,0,0,0,23160,19260,0,2374,0,605,2,6,3,12946.833333333334,4,2,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2239,AVA,RIV,674400,1142272,656400,815880,1540080,1345933,15399,15898,2738880,13965,3469,11,4,814779.6363636364,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2241,AVA,RMD,913920,1008896,338400,588360,775200,904946,14064,72084,1891680,7521,14039,11,4,593555.4545454546,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2243,AVA,RME,0,0,0,0,0,0,605,0,0,560,2022,3,2,1062.3333333333333,1,2,no,no,not specific,no,pristi_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2245,AVA,RMG,47520,78592,36840,670200,564120,1273957,6919,8196,1830000,355,317,11,4,410637.8181818182,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2247,AVA,SAA,3157560,6002688,3765840,5315640,11098320,10615753,113714,118603,19071360,54303,52864,11,4,5396967.7272727275,9,2,no,no,core,no,core,0,0,0,0,0,0,0,6,0,0,81,42,3,43,1,2,no,no,not specific,0.6,61.5
2249,AVA,SIA,413520,675584,357960,1076760,1125120,1235096,17953,13280,7256400,22794,9354,11,4,1109438.2727272727,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2251,AVA,SIB,277800,503808,213720,750000,611640,530532,16892,12687,3304800,7116,8333,11,4,567029.8181818182,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2253,AVA,SMB,176400,356864,123720,428640,462600,822157,21323,14585,3998640,4103,4197,11,4,583020.8181818182,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2255,AVA,SMD,1883040,3335168,3054240,3189240,6609000,8374669,77455,68708,13342080,32578,33559,11,4,3636339.727272727,9,2,no,no,core,no,core,0,0,0,0,0,0,0,1,0,0,0,4,2,2.5,1,1,no,no,not specific,0.1,2
2257,AVA,URA,0,21504,21120,6240,78720,0,0,0,112800,0,575,6,2,40159.833333333336,5,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2259,AVA,URB,3240,123648,15600,45600,2160,0,2,11,154320,0,0,8,2,43072.625,8,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
