,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
0,ADA,ADA,137400,114688,176400,50280,0,0,801,718,93360,7555,1301,9,4,64722.555555555555,7,2,no,no,not specific,no,core,0,0,0,0,0,0,0,11,0,0,0,0,1,11,1,0,no,no,not specific,1.1,0
2,ADA,ADE,303360,564224,594360,812520,1412280,967464,1578,32148,3714000,12307,5735,11,4,765452.3636363636,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,1,0,8,2,3,3.6666666666666665,1,2,no,no,not specific,0.1,5
4,ADA,ADF,18000,57344,61080,335160,552840,206806,3717,13532,987600,1763,170,11,4,203455.63636363635,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,no,no,not specific,0,1
6,ADA,ADL,181200,199680,463920,514560,667200,1343231,19408,25870,2946000,6001,5464,11,4,579321.2727272727,9,2,no,no,core,no,core,0,0,0,0,0,0,0,2,0,0,3,3,3,2.6666666666666665,1,2,no,no,not specific,0.2,3
8,ADA,AFD,0,0,0,0,0,0,0,0,0,0,4839,1,1,4839,0,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
10,ADA,AIA,0,125440,151920,45960,337320,770457,551,6069,658320,0,0,8,2,262004.625,8,0,no,no,not specific,no,cel_specific,0,0,0,0,1,1,0,3,2,0,0,0,4,1.75,4,0,no,no,not specific,0.7,0
12,ADA,AIB,215520,303360,265320,240000,374520,536953,11054,26466,884160,4540,4154,11,4,260549.72727272726,9,2,no,no,core,no,core,2,1,0,1,2,1,2,10,6,0,6,6,10,3.7,8,2,no,no,not specific,2.5,6
14,ADA,AIM,13440,10496,0,17280,49200,41563,483,258,194880,0,0,8,2,40950,8,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
16,ADA,AIY,0,0,0,0,0,0,0,398,0,0,0,1,1,398,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
18,ADA,AIZ,133440,225536,0,116760,310920,232151,1153,1534,14160,12004,5525,10,4,105318.3,8,2,no,no,not specific,no,core,0,0,0,1,0,0,0,0,0,0,5,0,2,3,1,1,no,no,not specific,0.1,2.5
20,ADA,ALM,468840,1058816,1104360,1026240,2082120,2487428,22909,2650,2490240,1866,4062,11,4,977230.0909090909,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,no,no,not specific,0,1.5
22,ADA,ALN,0,0,0,0,58440,6082,0,314,6000,2059,0,5,3,14579,4,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,7,0,1,7,0,1,no,no,not specific,0,3.5
24,ADA,ASE,13560,0,1200,0,13920,0,0,1884,3840,0,0,5,2,6880.8,5,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
26,ADA,ASG,0,0,0,0,0,0,0,77,0,0,0,1,1,77,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
28,ADA,ASH,1944240,2816256,1518840,2086920,4461120,5417532,70727,55070,8068320,0,0,9,2,2937669.4444444445,9,0,yes,no,cel_specific,no,cel_specific,0,2,0,0,2,1,1,2,0,0,0,0,5,1.6,5,0,no,no,not specific,0.8,0
30,ADA,ASI,0,0,0,0,0,0,0,228,0,0,0,1,1,228,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,no,no,not specific,0,0.5
32,ADA,ASJ,3960,0,4560,17400,0,0,0,0,0,0,0,3,0,8640,3,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
34,ADA,ASK,171840,266496,256800,280560,299520,291624,1457,240,659040,0,0,9,2,247508.55555555556,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
36,ADA,AUA,13200,0,0,0,0,13516,0,0,0,0,0,2,0,13358,2,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
38,ADA,AVA,1650480,2582528,1909080,2222760,3385080,4699790,38471,57252,9567360,32659,19820,11,4,2378661.8181818184,9,2,no,no,core,no,core,3,4,5,1,2,9,6,17,3,5,20,15,12,7.5,10,2,no,no,core,5.5,17.5
40,ADA,AVB,881400,2023424,1383960,1593600,3999360,5651373,53501,42019,12387120,17720,12414,11,4,2549626.4545454546,9,2,no,no,core,no,core,5,8,9,10,21,25,24,62,28,45,18,5,12,21.666666666666668,10,2,no,no,core,23.7,11.5
42,ADA,AVD,864360,803584,623640,677760,1478280,1491915,10511,21166,2606400,22163,7843,11,4,782511.0909090909,9,2,no,no,core,no,core,2,2,0,2,0,2,0,8,1,1,31,10,9,6.555555555555555,7,2,no,no,not specific,1.8,20.5
44,ADA,AVE,99360,248320,81600,53040,561360,201398,2816,2517,518640,14959,18929,11,4,163903.54545454544,9,2,no,no,core,no,core,0,0,0,1,2,0,2,4,4,1,28,29,8,8.875,6,2,no,no,not specific,1.4,28.5
46,ADA,AVH,218040,807936,404640,571560,1168920,793435,10050,7752,1125120,0,0,9,2,567494.7777777778,9,0,yes,no,cel_specific,no,cel_specific,0,0,1,0,0,1,0,0,0,0,0,0,2,1,2,0,no,no,not specific,0.2,0
48,ADA,AVJ,425520,534528,367080,397200,588720,865412,13335,6162,2580240,17129,12743,11,4,528006.2727272727,9,2,no,no,core,no,core,3,2,4,5,7,8,7,24,10,18,20,12,12,10,10,2,no,no,core,8.8,16
50,ADA,AVK,11640,0,0,10440,0,0,0,2876,45600,33046,11598,6,4,19200,4,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,6,0,1,6,0,1,no,no,not specific,0,3
52,ADA,AWA,73320,7168,6480,3840,102360,0,673,3626,328080,232,3806,10,4,52958.5,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,1,no,no,not specific,0,2
54,ADA,AWB,117720,281344,196800,138360,237840,290272,4313,5220,441120,5551,18728,11,4,157933.45454545456,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,8,7,2,7.5,0,2,no,yes,pristi_specific,0,7.5
56,ADA,BDU,112440,534272,272040,336360,352800,134829,2175,6834,449040,5896,23720,11,4,202764.18181818182,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,no,no,not specific,0,1.5
58,ADA,CEP,63240,490240,295680,136440,311040,232150,907,920,189120,455,292,11,4,156407.63636363635,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
60,ADA,DVA,438960,1600256,1299120,1444440,1854480,1970073,7002,31409,2680080,23948,18247,11,4,1033455.9090909091,9,2,no,no,core,no,core,0,0,0,1,0,0,0,0,3,0,7,9,4,5,2,2,no,no,not specific,0.4,8
62,ADA,DVC,0,39680,12480,2760,0,14192,465,0,960,490,1845,8,3,9109,6,2,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,no,no,not specific,0,1.5
64,ADA,FLP,177720,418048,165000,216720,1163280,558580,9222,18968,990720,0,0,9,2,413139.77777777775,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
66,ADA,IL1,44640,32256,53640,6120,39720,54404,835,523,307680,1976,2095,11,4,49444.454545454544,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
68,ADA,IL2,111480,184832,64560,31800,274680,195315,1871,3858,414960,7702,8497,11,4,118141.36363636363,9,2,no,no,core,no,core,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
70,ADA,OLL,9840,3328,0,0,79320,34129,0,4,0,1995,1824,7,3,18634.285714285714,5,2,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
72,ADA,OLQ,445320,506624,164760,262440,386400,266280,7533,859,878400,3812,1313,11,4,265794.63636363635,9,2,no,no,core,no,core,0,0,0,1,2,1,0,0,0,1,11,6,6,3.6666666666666665,4,2,no,no,not specific,0.5,8.5
74,ADA,PVC,10200,34048,33480,112920,116400,76369,963,1641,9600,0,1663,10,3,39728.4,9,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
76,ADA,PVP,521520,590336,268080,362040,1027680,939079,1456,6942,828240,8593,14047,11,4,415273.9090909091,9,2,no,no,core,no,core,0,1,0,0,0,1,0,1,0,0,1,2,5,1.2,3,2,no,no,not specific,0.3,1.5
78,ADA,PVQ,52080,159744,279600,582840,675840,442336,1623,1280,701280,6357,10848,11,4,264893.45454545453,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,1,2,2,1.5,0,2,no,yes,pristi_specific,0,1.5
80,ADA,PVR,201840,668416,316680,201240,392520,109824,2805,4225,685680,36818,10097,11,4,239104.0909090909,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,9,12,2,10.5,0,2,no,yes,pristi_specific,0,10.5
82,ADA,PVT,0,0,0,0,0,0,0,0,7920,5758,1390,3,3,5022.666666666667,1,2,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
84,ADA,RIA,40200,122880,132720,200160,300120,76707,1741,2358,348720,4201,5060,11,4,112260.63636363637,9,2,no,no,core,no,core,0,0,0,0,1,0,0,0,0,0,15,14,3,10,1,2,no,no,not specific,0.1,14.5
86,ADA,RIB,0,0,0,0,0,0,0,0,0,0,5015,1,1,5015,0,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,no,no,not specific,0,1
88,ADA,RIC,2462160,3039744,1876320,2287920,3246480,2166403,40287,40749,6607680,32384,19628,11,4,1983614.0909090908,9,2,no,no,core,no,core,2,2,2,2,4,1,2,4,3,1,19,8,12,4.166666666666667,10,2,no,no,core,2.3,13.5
90,ADA,RID,109440,169216,64680,352440,357840,198021,577,3811,239280,0,334,10,3,149563.9,9,1,no,no,not specific,no,not specific,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
92,ADA,RIF,350040,740864,540480,225960,512880,333526,8905,8299,791280,3646,2249,11,4,319829.9090909091,9,2,no,no,core,no,core,0,0,0,0,0,0,0,1,1,0,2,0,3,1.3333333333333333,2,1,no,no,not specific,0.2,1
94,ADA,RIG,0,14336,0,8160,0,0,0,0,0,3416,0,3,1,8637.333333333334,2,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
96,ADA,RIH,124920,187648,65040,0,0,8448,0,0,82560,0,0,5,1,93723.2,5,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
98,ADA,RIM,708600,1731072,1421280,1739640,5924160,6709063,67969,76387,12327360,16286,11832,11,4,2793968.090909091,9,2,no,no,core,no,core,2,4,5,5,10,8,8,38,13,11,37,8,12,12.416666666666666,10,2,no,no,core,10.4,22.5
100,ADA,RIP,0,0,46200,237240,680760,807966,14261,10241,2129040,1340,3130,9,4,436686.44444444444,7,2,no,no,not specific,no,core,0,0,1,4,4,5,7,13,8,11,0,0,8,6.625,8,0,no,no,not specific,5.3,0
102,ADA,RIR,30240,0,38400,600,0,41902,13,35,0,0,0,6,1,18531.666666666668,6,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
104,ADA,RIS,0,0,0,0,0,0,0,80,0,0,0,1,1,80,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
106,ADA,RIV,687360,219136,617160,355440,585240,310547,1591,3283,1498320,3865,2541,11,4,389498.45454545453,9,2,no,no,core,no,core,0,0,0,0,0,0,0,5,0,0,0,0,1,5,1,0,no,no,not specific,0.5,0
108,ADA,RMD,105480,7936,162720,6000,46440,4055,0,158,148560,2985,2126,10,4,48646,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
110,ADA,RME,0,0,0,0,0,0,97,0,387840,0,0,2,1,193968.5,2,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
112,ADA,RMG,377760,407808,206280,522360,692520,1797396,7894,11453,2161440,8747,7989,11,4,563786.0909090909,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,no,no,not specific,0,0.5
114,ADA,SAA,1514640,1115648,1099440,812520,908040,1146560,5070,6588,2396880,6483,5093,11,4,819723.8181818182,9,2,no,no,core,no,core,0,0,0,1,0,0,0,0,1,1,2,4,5,1.8,3,2,no,no,not specific,0.3,3
116,ADA,SIA,178680,754688,210960,552480,1281960,390634,3456,7309,976560,11278,10598,11,4,398054.8181818182,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
118,ADA,SIB,1020720,2109952,1221600,1065360,2574960,1531113,19461,25968,2594400,8080,6240,11,4,1107077.6363636365,9,2,no,no,core,no,core,0,0,0,0,1,0,0,0,0,0,4,3,3,2.6666666666666665,1,2,no,no,not specific,0.1,3.5
120,ADA,SMB,428880,955392,741120,579240,1730760,1240163,6049,8072,2317920,1258,969,11,4,728165.7272727273,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
122,ADA,SMD,435840,952064,714360,410520,387120,588316,2418,17633,1881120,2412,3740,11,4,490503.9090909091,9,2,no,no,core,no,core,0,1,0,0,0,0,1,4,1,2,5,0,6,2.3333333333333335,5,1,no,no,not specific,0.9,2.5
124,ADA,URA,30360,189184,135840,131160,141840,250059,3145,1388,496800,399,235,11,4,125491.81818181818,9,2,no,no,core,no,core,0,0,0,1,1,0,0,1,0,0,0,0,3,1,3,0,no,no,not specific,0.3,0
126,ADA,URB,219840,637696,429120,698400,1006920,1026938,7221,6441,3806880,0,533,10,3,783998.9,9,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
128,ADA,URX,319680,678656,642480,746640,1664040,3898244,32614,37960,8024160,11649,14222,11,4,1460940.4545454546,9,2,no,no,core,no,core,0,0,0,0,0,0,0,3,2,0,0,0,2,2.5,2,0,no,no,not specific,0.5,0
130,ADA,URY,396600,412928,237360,303960,501480,632247,4109,3755,794640,4224,3314,11,4,299510.63636363635,9,2,no,no,core,no,core,0,0,0,0,0,0,0,2,0,0,4,0,2,3,1,1,no,no,not specific,0.2,2
133,ADE,ADE,664920,1245440,1239720,0,3081960,4401408,8129,73991,6899040,3732,6166,10,4,1762450.6,8,2,no,no,not specific,no,core,0,1,2,0,2,4,3,14,9,8,0,0,8,5.375,8,0,no,no,not specific,4.3,0
135,ADE,ADL,0,0,0,600,135600,0,0,394,0,0,0,3,1,45531.333333333336,3,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
137,ADE,AIB,6000,10752,0,144960,0,0,0,0,18480,0,0,4,1,45048,4,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
139,ADE,AIM,0,0,0,0,0,0,81,130,0,0,0,2,1,105.5,2,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
141,ADE,AIN,0,0,0,153480,177360,411923,9060,15130,2519760,0,0,6,2,547785.5,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,1,0,0,0,2,0,0,2,1.5,2,0,no,no,not specific,0.3,0
143,ADE,AIY,0,0,0,0,0,0,22,0,66240,9,0,3,2,22090.333333333332,2,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
145,ADE,AIZ,0,0,0,5160,0,0,0,0,135360,0,0,2,1,70260,2,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
147,ADE,ALA,0,0,0,26760,7560,50012,37,5722,13440,0,0,6,2,17255.166666666668,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
149,ADE,ALM,0,0,0,116400,237120,795463,14995,10933,2333760,24518,10864,8,4,443006.625,6,2,no,no,not specific,no,core,0,0,0,0,0,1,1,1,1,1,22,19,7,6.571428571428571,5,2,no,no,not specific,0.5,20.5
151,ADE,ALN,0,0,0,354120,980400,1466572,6210,25387,2970240,0,0,6,2,967154.8333333334,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,1,2,2,0,0,3,1.6666666666666667,3,0,no,no,not specific,0.5,0
153,ADE,ASE,0,0,0,0,0,0,0,371,0,0,0,1,1,371,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
155,ADE,ASI,0,0,0,1080,0,0,0,269,0,0,0,2,1,674.5,2,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
157,ADE,ASJ,0,0,0,0,76440,3717,4948,1689,235200,0,0,5,2,64398.8,5,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,no,no,not specific,0.1,0
159,ADE,ASK,0,0,0,0,0,4730,0,0,0,0,0,1,0,4730,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
161,ADE,AVA,643080,1499904,1144440,1592280,3072000,3121027,13884,90298,5905920,25615,36850,11,4,1558663.4545454546,9,2,no,no,core,no,core,2,4,3,4,4,5,7,46,12,9,17,17,12,10.833333333333334,10,2,no,no,core,9.6,17
164,ADE,AVD,117120,0,57480,203160,658080,228770,5341,4334,796800,5830,0,9,3,230768.33333333334,8,1,no,no,not specific,no,not specific,1,0,0,1,1,4,4,7,0,2,1,0,8,2.625,7,1,no,no,not specific,2,0.5
166,ADE,AVE,0,0,0,241560,214560,15206,3632,7116,503520,1398,0,7,3,140998.85714285713,6,1,no,no,not specific,no,not specific,0,0,0,0,1,0,2,7,1,1,0,0,5,2.4,5,0,no,no,not specific,1.2,0
168,ADE,AVH,0,0,0,208800,270240,418682,3920,2667,408720,0,0,6,2,218838.16666666666,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
170,ADE,AVJ,3120,0,0,146520,306000,122326,476,3747,371040,0,1095,8,3,119290.5,7,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
172,ADE,AVK,309000,657152,521520,1383960,632760,453826,356,9968,794160,28257,9747,11,4,436427.8181818182,9,2,no,no,core,no,core,0,0,0,1,1,0,0,0,5,4,0,0,4,2.75,4,0,no,no,not specific,1.1,0
174,ADE,AVL,9360,2560,89040,0,2400,0,852,3384,38640,0,37,8,3,18284.125,7,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
176,ADE,BDU,0,104704,51360,86400,214320,319334,4899,17573,982320,0,2558,9,3,198163.11111111112,8,1,no,no,not specific,no,not specific,0,0,0,0,0,0,2,1,1,0,0,0,3,1.3333333333333333,3,0,no,no,not specific,0.4,0
178,ADE,CEP,0,0,0,0,394800,633937,4815,5844,1157040,0,0,5,2,439287.2,5,0,no,no,not specific,no,cel_specific,0,0,0,0,7,4,1,8,9,11,0,0,6,6.666666666666667,6,0,no,no,not specific,4,0
180,ADE,DVA,164520,0,22440,89160,341760,510258,1019,11826,1307760,425,1617,10,4,245078.5,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,no,no,not specific,0.1,0
182,ADE,DVC,382800,455168,187800,589320,96600,0,0,426,15120,17258,7176,9,4,194629.77777777778,7,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,2,0,25,0,2,13.5,1,1,no,no,not specific,0.2,12.5
184,ADE,FLP,673440,1423872,1000080,665640,1371720,1246923,5944,41416,3415200,0,0,9,2,1093803.888888889,9,0,yes,no,cel_specific,no,cel_specific,1,1,1,0,2,0,2,9,1,1,0,0,8,2.25,8,0,no,no,not specific,1.8,0
186,ADE,IL1,0,0,0,160320,1127160,2155928,12480,18770,3818160,0,0,6,2,1215469.6666666667,6,0,no,no,not specific,no,cel_specific,0,0,0,0,1,2,0,4,8,5,0,0,5,4,5,0,no,no,not specific,2,0
188,ADE,IL2,0,0,0,4920,95880,1611539,15515,17180,1933680,0,0,6,2,613119,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,3,0,6,3,4,0,0,4,4,4,0,no,no,not specific,1.6,0
190,ADE,OLL,0,0,0,95520,156720,1363507,14304,17360,1267440,0,0,6,2,485808.5,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,3,2,10,6,2,0,0,5,4.6,5,0,no,no,not specific,2.3,0
192,ADE,PVC,169080,192256,146280,0,816960,673473,53,0,304800,3880,2678,9,3,256606.66666666666,7,2,no,no,not specific,no,not specific,1,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,no,no,not specific,0.2,0
194,ADE,PVP,33480,0,840,8160,94080,0,0,0,4080,7365,596,7,3,21228.714285714286,5,2,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,1,0,4,0,2,2.5,1,1,no,no,not specific,0.1,2
196,ADE,PVQ,0,90368,0,101400,125760,675,0,0,0,0,0,4,0,79550.75,4,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
198,ADE,PVR,0,0,46560,26520,158040,102727,1834,5134,1275600,1739,0,8,3,202269.25,7,1,no,no,not specific,no,not specific,0,0,0,0,1,1,2,0,0,2,0,0,4,1.5,4,0,no,no,not specific,0.6,0
200,ADE,PVT,156240,315904,22680,115200,120,444026,0,0,628080,0,6438,8,2,211086,7,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,no,no,not specific,0.2,0
202,ADE,RIA,0,0,0,7080,437760,470722,1200,2316,765120,0,0,6,2,280699.6666666667,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,0,no,no,not specific,0.3,0
204,ADE,RIC,0,0,0,57720,0,0,0,0,0,0,486,2,1,29103,1,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
206,ADE,RID,0,0,0,10080,0,0,0,0,0,0,0,1,0,10080,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
208,ADE,RIF,0,0,0,5640,186240,272025,8331,5733,529920,15852,15315,8,4,129882,6,2,no,no,not specific,no,core,0,0,0,1,0,0,2,1,0,1,4,0,5,1.8,4,1,no,no,not specific,0.5,2
210,ADE,RIG,482640,962560,483120,1642800,2427840,3319387,11583,61398,7312320,49273,42429,11,4,1526850,9,2,no,no,core,no,core,2,0,1,4,8,10,21,87,34,34,57,35,11,26.636363636363637,9,2,no,no,not specific,20.1,46
212,ADE,RIH,380040,615936,418560,73680,454680,3560324,4661,48848,8572320,245,13014,11,4,1285664.3636363635,9,2,no,no,core,no,core,0,0,0,0,0,0,0,4,3,0,0,0,2,3.5,2,0,no,no,not specific,0.7,0
214,ADE,RIM,0,0,0,591600,0,129423,588,0,85200,210,132,6,3,134525.5,4,2,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,6,0,1,6,0,1,no,no,not specific,0,3
216,ADE,RIR,0,0,0,23400,0,0,0,2823,0,0,0,2,1,13111.5,2,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
218,ADE,RIS,175920,170496,840,204960,427440,0,51,0,55440,911,469,9,3,115169.66666666667,7,2,no,no,not specific,no,not specific,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,no,no,not specific,0.1,0
220,ADE,RIV,0,0,7320,663000,1048560,732272,11456,25106,3180480,0,96,8,3,708536.25,7,1,no,no,not specific,no,not specific,0,0,0,0,0,1,2,5,6,6,0,0,5,4,5,0,no,no,not specific,2,0
222,ADE,RMD,0,0,0,109320,138840,1652764,14682,19638,2748240,0,0,6,2,780580.6666666666,6,0,no,no,not specific,no,cel_specific,0,0,0,0,0,1,4,17,8,8,0,0,5,7.6,5,0,no,no,not specific,3.8,0
224,ADE,RME,0,0,0,0,135360,1890999,9536,19010,966960,0,0,5,2,604373,5,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,4,1,0,0,0,2,2.5,2,0,no,no,not specific,0.5,0
226,ADE,RMG,0,0,0,27480,11640,235530,4056,1673,154320,8802,585,8,4,55510.75,6,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,1,0,4,0,2,2.5,1,1,no,no,not specific,0.1,2
228,ADE,SAA,1122720,1935616,1337760,1793520,1638720,2159644,6446,18065,7221360,5223,47,11,4,1567192.8181818181,9,2,no,no,core,no,core,0,0,1,1,0,1,0,1,3,4,0,0,6,1.8333333333333333,6,0,no,no,not specific,1.1,0
230,ADE,SIA,0,3328,0,3720,29640,21964,3181,819,1025520,2449,2478,9,4,121455.44444444444,7,2,no,no,not specific,no,core,0,0,0,0,0,0,1,1,0,1,23,11,5,7.4,3,2,no,no,not specific,0.3,17
232,ADE,SIB,0,0,94440,273240,1007040,812694,6478,9601,4038240,872,2152,9,4,693861.8888888889,7,2,no,no,not specific,no,core,0,0,0,0,0,1,1,2,2,0,0,0,4,1.5,4,0,no,no,not specific,0.6,0
234,ADE,SMB,22440,106752,75960,215160,717120,943133,5964,6686,2462880,1684,2680,11,4,414587.1818181818,9,2,no,no,core,no,core,0,0,0,0,1,0,0,3,3,3,1,0,5,2.2,4,1,no,no,not specific,1,0.5
236,ADE,SMD,210840,503296,603840,1140240,2331480,2061648,3726,22181,6123600,0,0,9,2,1444539,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,1,0,0,0,1,0,2,0,0,3,1.3333333333333333,3,0,no,no,not specific,0.4,0
238,ADE,URB,0,0,0,282720,2268120,2308330,16180,15331,3642720,0,0,6,2,1422233.5,6,0,no,no,not specific,no,cel_specific,0,0,0,0,1,0,0,3,1,1,0,0,4,1.5,4,0,no,no,not specific,0.6,0
